LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,15-Nov-2019 16:23:42,0                 
Time,Ampl
-10.000993,0.0147361
-9.9999925,0.0157806
-9.9989925,0.0169778
-9.9979925,0.0177333
-9.9969925,0.0181306
-9.9959925,0.0182194
-9.9949925,0.0181083
-9.9939925,0.0178806
-9.9929925,0.0179694
-9.9919925,0.0182361
-9.9909925,0.0183194
-9.9899925,0.0178889
-9.9889925,0.0170306
-9.9879925,0.0155833
-9.9869925,0.0140611
-9.9859925,0.0128861
-9.9849925,0.012525
-9.9839925,0.0127028
-9.9829925,0.0134139
-9.9819925,0.0141
-9.9809925,0.0145139
-9.9799925,0.0144917
-9.9789925,0.0142861
-9.9779925,0.0140389
-9.9769925,0.0138417
-9.9759925,0.0139472
-9.9749925,0.0142667
-9.9739925,0.0147111
-9.9729925,0.0151778
-9.9719925,0.0156833
-9.9709925,0.0161167
-9.9699925,0.0163806
-9.9689925,0.0166611
-9.9679925,0.0167528
-9.9669925,0.0167556
-9.9659925,0.0165333
-9.9649925,0.0163639
-9.9639925,0.0159083
-9.9629925,0.0154
-9.9619925,0.0148778
-9.9609925,0.0144722
-9.9599925,0.014075
-9.9589925,0.0139333
-9.9579925,0.0141889
-9.9569925,0.0146
-9.9559925,0.0151778
-9.9549925,0.0157972
-9.9539925,0.0164972
-9.9529925,0.0168972
-9.9519925,0.0172583
-9.9509925,0.0172917
-9.9499925,0.0171056
-9.9489925,0.0164778
-9.9479925,0.0159083
-9.9469925,0.0154361
-9.9459925,0.015525
-9.9449925,0.016075
-9.9439925,0.0169
-9.9429925,0.0174639
-9.9419925,0.0175389
-9.9409925,0.0170111
-9.9399925,0.016025
-9.9389925,0.0150444
-9.9379925,0.0145056
-9.9369925,0.0145306
-9.9359925,0.0148528
-9.9349925,0.0153278
-9.9339925,0.0157639
-9.9329925,0.0158806
-9.9319925,0.015575
-9.9309925,0.0147833
-9.9299925,0.013725
-9.9289925,0.0124278
-9.9279925,0.0115778
-9.9269925,0.0112222
-9.9259925,0.0119111
-9.9249925,0.0131806
-9.9239925,0.0149833
-9.9229925,0.0161528
-9.9219925,0.0167667
-9.9209925,0.0165417
-9.9199925,0.0159694
-9.9189925,0.0151111
-9.9179925,0.014675
-9.9169925,0.0144944
-9.9159925,0.0146889
-9.9149925,0.0149444
-9.9139925,0.0154194
-9.9129925,0.0156778
-9.9119925,0.0160806
-9.9109925,0.0164222
-9.9099925,0.0168028
-9.9089925,0.0168667
-9.9079925,0.0169667
-9.9069925,0.0168583
-9.9059925,0.0164833
-9.9049925,0.0161361
-9.9039925,0.0159583
-9.9029925,0.0160778
-9.9019925,0.0163389
-9.9009925,0.0168806
-9.8999925,0.0172917
-9.8989925,0.0176
-9.8979925,0.0176361
-9.8969925,0.0175028
-9.8959925,0.0172722
-9.8949925,0.0170806
-9.8939925,0.0169944
-9.8929925,0.0168583
-9.8919925,0.0169583
-9.8909925,0.0171333
-9.8899925,0.0173472
-9.8889925,0.0173639
