LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,21-Nov-2019 16:36:16,0                 
Time,Ampl
-10.000354,8.38
-9.9993536,8.3
-9.9983536,8.36
-9.9973536,8.36
-9.9963536,8.4
-9.9953536,8.38
-9.9943536,8.44
-9.9933536,8.32
-9.9923536,8.42
-9.9913536,8.34
-9.9903536,8.36
-9.9893536,8.42
-9.9883536,8.4
-9.9873536,8.44
-9.9863536,8.4
-9.9853536,8.32
-9.9843536,8.28
-9.9833536,8.32
-9.9823536,8.38
-9.9813536,8.36
-9.9803536,8.4
-9.9793536,8.4
-9.9783536,8.46
-9.9773536,8.38
-9.9763536,8.32
-9.9753536,8.34
-9.9743536,8.32
-9.9733536,8.38
-9.9723536,8.34
-9.9713536,8.38
-9.9703536,8.28
-9.9693536,8.34
-9.9683536,8.38
-9.9673536,8.36
-9.9663536,8.5
-9.9653536,8.42
-9.9643536,8.4
-9.9633536,8.36
-9.9623536,8.32
-9.9613536,8.36
-9.9603536,8.32
-9.9593536,8.32
-9.9583536,8.36
-9.9573536,8.26
-9.9563536,8.42
-9.9553536,8.48
-9.9543536,8.38
-9.9533536,8.38
-9.9523536,8.34
-9.9513536,8.36
-9.9503536,8.48
-9.9493536,8.3
-9.9483536,8.42
-9.9473536,8.38
-9.9463536,8.38
-9.9453536,8.32
-9.9443536,8.38
-9.9433536,8.38
-9.9423536,8.34
-9.9413536,8.38
-9.9403536,8.44
-9.9393536,8.36
-9.9383536,8.32
-9.9373536,8.36
-9.9363536,8.3
-9.9353536,8.4
-9.9343536,8.34
-9.9333536,8.32
-9.9323536,8.38
-9.9313536,8.3
-9.9303536,8.4
-9.9293536,8.28
-9.9283536,8.36
-9.9273536,8.42
-9.9263536,8.44
-9.9253536,8.36
-9.9243536,8.48
-9.9233536,8.34
-9.9223536,8.3
-9.9213536,8.3
-9.9203536,8.3
-9.9193536,8.28
-9.9183536,8.36
-9.9173536,8.46
-9.9163536,8.4
-9.9153536,8.4
-9.9143536,8.36
-9.9133536,8.34
-9.9123536,8.4
-9.9113536,8.38
-9.9103536,8.36
-9.9093536,8.36
-9.9083536,8.36
-9.9073536,8.46
-9.9063536,8.34
-9.9053536,8.32
-9.9043536,8.38
-9.9033536,8.32
-9.9023536,8.36
-9.9013536,8.3
-9.9003536,8.32
-9.8993536,8.28
-9.8983536,8.34
-9.8973536,8.52
-9.8963536,8.42
-9.8953536,8.38
-9.8943536,8.32
-9.8933536,8.38
-9.8923536,8.36
-9.8913536,8.3
-9.8903536,8.38
-9.8893536,8.4
-9.8883536,8.46
-9.8873536,8.36
-9.8863536,8.36
-9.8853536,8.36
-9.8843536,8.36
-9.8833536,8.34
-9.8823536,8.4
-9.8813536,8.38
-9.8803536,8.34
-9.8793536,8.3
-9.8783536,8.34
-9.8773536,8.36
-9.8763536,8.46
-9.8753536,8.4
-9.8743536,8.36
-9.8733536,8.34
-9.8723536,8.34
-9.8713536,8.34
-9.8703536,8.34
-9.8693536,8.36
-9.8683536,8.4
-9.8673536,8.38
-9.8663536,8.42
-9.8653536,8.36
-9.8643536,8.38
-9.8633536,8.4
-9.8623536,8.34
-9.8613536,8.4
-9.8603536,8.38
-9.8593536,8.32
-9.8583536,8.38
-9.8573536,8.28
-9.8563536,8.38
-9.8553536,8.3
-9.8543536,8.36
-9.8533536,8.32
-9.8523536,8.38
-9.8513536,8.34
-9.8503536,8.28
-9.8493536,8.38
-9.8483536,8.32
-9.8473536,8.4
-9.8463536,8.36
-9.8453536,8.34
-9.8443536,8.38
-9.8433536,8.28
-9.8423536,8.34
-9.8413536,8.38
-9.8403536,8.36
-9.8393536,8.34
-9.8383536,8.44
-9.8373536,8.32
-9.8363536,8.46
-9.8353536,8.36
-9.8343536,8.48
-9.8333536,8.4
-9.8323536,8.26
-9.8313536,8.34
-9.8303536,8.34
-9.8293536,8.36
-9.8283536,8.48
-9.8273536,8.44
-9.8263536,8.3
-9.8253536,8.3
-9.8243536,8.38
-9.8233536,8.4
-9.8223536,8.36
-9.8213536,8.38
-9.8203536,8.36
-9.8193536,8.4
-9.8183536,8.38
-9.8173536,8.38
-9.8163536,8.34
-9.8153536,8.4
-9.8143536,8.4
